World War I began in 1914,True
The Great Wall of China is visible from space,False
Napoleon Bonaparte was short for his time period,False
The American Civil War ended in 1865,True
Vikings wore horned helmets,False
The Boston Tea Party happened in Boston Harbor,True
Adolf Hitler was elected as Chancellor of Germany,True
The Titanic sank in 1912,True
Christopher Columbus discovered America in 1492,False
The Berlin Wall fell in 1989,True
Ancient Egyptians built the pyramids using slave labor,False
The Declaration of Independence was signed in 1776,True
World War II ended in 1945,True
The Black Death killed about one-third of Europe's population,True
George Washington had wooden teeth,False
The Renaissance began in Italy,True
The Cold War was an actual military conflict,False
Cleopatra was Egyptian,False
The American Revolution began with the Boston Massacre,False
Julius Caesar was the first Roman Emperor,False
