A sonnet has 14 lines,True
Shakespeare wrote exactly 37 plays,True
The plural of "mouse" is "mouses",False
A metaphor uses "like" or "as" to make comparisons,False
"To Kill a Mockingbird" was written by Harper Lee,True
An oxymoron combines contradictory terms,True
The past tense of "lie" (to recline) is "layed",False
Alliteration is the repetition of consonant sounds at the beginning of words,True
"Romeo and Juliet" is a comedy,False
A haiku has 5-7-5 syllable structure,True
"Your" and "you're" can be used interchangeably,False
The protagonist is always the hero of the story,False
Onomatopoeia refers to words that imitate sounds,True
"Pride and Prejudice" was written by Jane Austen,True
A thesis statement should appear in the conclusion,False
"Effect" is always a noun and "affect" is always a verb,False
Irony is when something is funny or coincidental,False
"1984" was written by George Orwell,True
A run-on sentence contains too many commas,False
The Oxford comma is always required in formal writing,False
